"id","code","name","account_type","chart_template_id/id","reconcile","tag_ids/id"
"account_1020","1020","Kehittämismenot","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_development_costs"
"account_1030","1030","Aineettomat oikeudet","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_immaterial_rights"
"account_1050","1050","Liikearvo","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_goodwill"
"account_1060","1060","Konserniliikearvo","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_goodwill"
"account_1070","1070","Muut pitkävaikutteiset menot","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_long_term_expenses"
"account_1090","1090","Ennakkomaksut aineettomista hyödykkeistä","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_advance_payments_intangible"
"account_1100","1100","Maa- ja vesialueet","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_land_and_water_areas_owned"
"account_1120","1120","Rakennukset ja rakennelmat","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_buildings_owned"
"account_1160","1160","Koneet ja kalusto","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_machines_and_hardware"
"account_1300","1300","Muut aineelliset hyödykkeet","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_tangible_assets"
"account_1380","1380","Ennakkomaksut ja keskeneräiset hankinnat","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_payments_on_account_tangible"
"account_1400","1400","Osuudet saman konsernin yrityksissä","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_shares_in_group_companies"
"account_1410","1410","Saamiset saman konsernin yrityksiltä","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_receivables_from_group_long-term"
"account_1420","1420","Osuudet omistusyhteysyrityksissä","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_shares_in_associated_companies"
"account_1430","1430","Pitkäaikaiset saamiset omistusyhteysyrityksiltä","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_receivables_from_associated_companies_non-current"
"account_1440","1440","Muut osakkeet ja osuudet","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_shares_and_participations"
"account_1470","1470","Muut pitkäaikaiset saamiset","data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_long-term_receivables"
"account_1500","1500","Aineet ja tarvikkeet","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_materials_and_supplies_inventories"
"account_1510","1510","Keskeneräiset tuotteet","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_work_in_progress"
"account_1520","1520","Valmiit tuotteet","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_finished_goods_inventories"
"account_1530","1530","Tavarat","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_goods_in_transit"
"account_1540","1540","Muu vaihto-omaisuus","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_current_assets"
"account_1550","1550","Ennakkomaksut vaihto-omaisuudesta","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_advance_payments_for_property"
"account_1600","1600","Pitkäaikaiset myyntisaamiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_trade_receivables_long-term"
"account_1630","1630","Saamiset saman konsernin yrityksiltä, pitkäaikaiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_receivables_from_group_long-term"
"account_1640","1640","Saamiset omistusyhteysyrityksiltä, pitkäaikaiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_receivables_from_associated_companies_non-current"
"account_1650","1650","Lainasaamiset, pitkäaikaiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_loan_receivables_long-term"
"account_1660","1660","Muut saamiset, pitkäaikaiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_other_long-term_receivables"
"account_1670","1670","Pitkäaikaiset maksamattomat osakkeet / osuudet","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_unpaid_shares_of_long-term"
"account_1680","1680","Pitkäaikaiset siirtosaamiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_prepaid_expenses_and_long-term"
"account_1690","1690","Pitkäaikaiset laskennalliset verosaamiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_deferred_tax_assets_are_long-term"
"account_1700","1700","Myyntisaamiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_accounts_receivable"
"account_1701","1701","Myyntisaamiset (myyntipiste)","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_accounts_receivable"
"account_1710","1710","Myyntisaamiset vanha järjestelmä","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_accounts_receivable"
"account_1720","1720","Korttisaamiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_accounts_receivable"
"account_1730","1730","Saamiset saman konsernin yrityksiltä, lyhytaikaiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_receivables_from_group"
"account_1740","1740","Saamiset omistusyhteysyrityksiltä, lyhytaikaiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_receivables_from_associated_companies"
"account_1750","1750","Lainasaamiset, lyhytaikaiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_loans"
"account_1760","1760","Muut saamiset, lyhytaikaiset","data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_other_receivables"
"account_1765","1765","ALV-saamiset","data_account_type_current_assets","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_other_receivables"
"account_1777","1777","Selvittelytili","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_receivables"
"account_1780","1780","Maksamattomat osakkeet / osuudet, lyhytaikaiset","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_unpaid_contributions"
"account_1800","1800","Siirtosaamiset, lyhytaikaiset","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_prepayments_and_accrued_income"
"account_1850","1850","Laskennalliset verosaamiset","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_deferred_tax_assets"
"account_1860","1860","Osuudet saman konsernin yrityksissä","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_shares_in_group_companies"
"account_1880","1880","Muut osakkeet ja osuudet (rahoitusomaisuus)","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_shares_and_marketable_securities"
"account_1890","1890","Muut rahoitusarvopaperit","data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_financial_assets"
"account_1900","1900","Rahat / käteisvarat","data_account_type_liquidity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_liquidity"
"account_1910","1910","Pankkisaamiset","data_account_type_liquidity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_liquidity"
"account_1920","1920","Pankkisaamiset, pankki2","data_account_type_liquidity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_liquidity"
"account_1930","1930","Pankkisaamiset, pankki3","data_account_type_liquidity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_liquidity"
"account_1940","1940","Pankkisaamiset, pankki4","data_account_type_liquidity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_liquidity"
"account_1990","1990","Rahansiirrot ja täsmäytykset","data_account_type_liquidity","l10n_fi.fi_chart_template","False",
"account_2000","2000","Osakepääoma","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_liquidity"
"account_2010","2010","Osakeanti","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_stock_capital"
"account_2020","2020","Ylikurssirahasto","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_stock_capital"
"account_2030","2030","Arvonkorotusrahasto (oy)","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_share_premium_account"
"account_2050","2050","Vararahasto (oy)","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_revaluation_reserve"
"account_2060","2060","Sijoitetun vapaan oman pääoman rahasto","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_reserve"
"account_2070","2070","Yhtiöjärjestyksen mukainen rahasto","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_the_invested_unrestricted_equity_fund"
"account_2080","2080","Muut rahastot (oy)","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_the_articles_of_association_or_fund_under_the_rules"
"account_2100","2100","Osuuspääoma","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_reserves"
"account_2110","2110","Arvonkorotusrahasto (osk)","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_stock_capital"
"account_2120","2120","Vararahasto (osk)","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2130","2130","Sääntöjen mukainen rahasto","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2140","2140","Muut rahastot (osk)","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2150","2150","Pääomapanokset (ay)","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2160","2160","Arvonkorotusrahasto (ay)","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2170","2170","Pääomapanokset (ky)","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2190","2190","Arvonkorotusrahasto (ky)","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2200","2200","Peruspääoma","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2210","2210","Arvonkorotusrahasto (tmi)","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2250","2250","Edellisten tilikausien voitto / tappio","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2330","2330","Pääomavajaus edellisiltä tilikausilta","data_account_type_equity","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_retained_earnings"
"account_2340","2340","Yksityistilit tilikaudella","data_account_type_equity","l10n_fi.fi_chart_template","False",
"account_2370","2370","Tilikauden tulos","data_unaffected_earnings","l10n_fi.fi_chart_template","False",
"account_2390","2390","Vähemmistöosuus","data_account_type_non_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_profit_for_the_period"
"account_2400","2400","Poistoero","data_account_type_non_current_liabilities","l10n_fi.fi_chart_template","False",
"account_2450","2450","Verotusperusteiset varaukset","data_account_type_non_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_depreciation_difference"
"account_2500","2500","Eläkevaraukset","data_account_type_non_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_tax_based_reservations"
"account_2530","2530","Verovaraukset","data_account_type_non_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_provisions_for_pensions"
"account_2550","2550","Muut pakolliset varaukset","data_account_type_non_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_tax_provisions"
"account_2590","2590","Konsernireservi","data_account_type_non_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_provisions"
"account_2600","2600","Pääomalainat, pitkäaikaiset","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False",
"account_2610","2610","Joukkovelkakirjalainat, pitkäaikaiset","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_subordinated_loans_long-term"
"account_2620","2620","Pitkäaikaiset vaihtovelkakirjalainat","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_bonds_are_long-term"
"account_2630","2630","Lainat rahoituslaitoksilta","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_convertible_bonds_long-term"
"account_2650","2650","Pitkäaikaiset takaisinlainat työeläkelaitoksilta","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_loans_from_financial_institutions_long-term"
"account_2660","2660","Pitkäaikaiset saadut ennakot","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_pension_loans_long-term"
"account_2670","2670","Ostovelat, pitkäaikaiset","data_account_type_payable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_advances_received_long-term"
"account_2690","2690","Pitkäaikaiset rahoitusvekselit","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_accounts_payable-current"
"account_2700","2700","Velat saman konsernin yrityksille, pitkäaikaiset","data_account_type_payable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_bills_of_long-term"
"account_2710","2710","Velat omistusyhteysyrityksille, pitkäaikaiset","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_consolidated_long-term_liabilities"
"account_2720","2720","Muut velat, pitkäaikaiset","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_payables_to_associated_companies_non-current"
"account_2750","2750","Pitkäaikaiset siirtovelat","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_long-term_liabilities"
"account_2770","2770","Pitkäaikaiset laskennalliset verovelat","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_accrued_long-term"
"account_2800","2800","Pääomalainat, lyhytaikaiset","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_deferred_tax_liabilities_are_long-term"
"account_2810","2810","Joukkovelkakirjalainat","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_capital_loans_are_short-term"
"account_2820","2820","Vaihtovelkakirjalainat","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_bonds_short-term"
"account_2830","2830","Lainat rahoituslaitoksilta","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_convertible_bonds_short-term"
"account_2850","2850","Työeläkelaitoksien takaisinlainojen lyhennyserät","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_loans_from_financial_institutions_short-term"
"account_2860","2860","Saadut ennakot","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_pension_loans_short-term"
"account_2870","2870","Ostovelat","data_account_type_payable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_advances_received_short-term"
"account_2880","2880","Maksuliikennetili","data_account_type_payable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_accounts_payable"
"account_2890","2890","Rahoitusvekselit","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_accounts_payable"
"account_2900","2900","Velat saman konsernin yrityksille","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_bills_of_short-term"
"account_2910","2910","Velat omistusyhteysyrityksille","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_group_short-term_liabilities"
"account_2920","2920","Ennakonpidätys- ja stm-velka","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_payables_to_associated_companies"
"account_2930","2930","Suoritettava arvonlisävero","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_short-term_liabilities"
"account_2935","2935","OmaVero-tapahtumat","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_short-term_liabilities"
"account_2940","2940","Muut velat","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_short-term_liabilities"
"account_2950","2950","Palkkojen siirtovelat","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_short-term_liabilities"
"account_2951","2951","Muut siirtovelat","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_accrued_liabilities_short-term"
"account_2952","2952","Palkkojen jaksotus","data_account_type_current_liabilities","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_accrued_liabilities_short-term"
